c;S;X;T;vol;rf
55.55;1991.76;1975;0.117808219;0.000729365;0.05
27.25;1991.76;2025;0.117808219;0.000636905;0.05
34.75;1991.76;2010;0.117808219;0.000663492;0.05
4.45;1991.76;2100;0.117808219;0.000512302;0.05
39.85;1991.76;2000;0.117808219;0.000675794;0.05
16.85;1991.76;2050;0.117808219;0.000590476;0.05
24.8;2089.99;2105;0.115068493;0.000460714;0.05
39.05;2012.74;2015;0.115068493;0.000625397;0.05
19.15;2012.74;2055;0.115068493;0.000554762;0.05
15.8;2089.99;2125;0.115068493;0.000449603;0.05
35.8;2089.99;2085;0.115068493;0.000470635;0.05
0.9;2050.29;2175;0.115068493;0.000446032;0.05
15.4;2012.74;2065;0.115068493;0.000538889;0.05
45.15;2012.74;2005;0.115068493;0.000644444;0.05
12.5;2050.29;2100;0.115068493;0.000445238;0.05
0.275;1921.42;2140;0.115068493;0.000655159;0.05
5.65;2012.74;2100;0.115068493;0.000478571;0.05
42.05;2012.74;2010;0.115068493;0.000634921;0.05
17.2;2012.74;2060;0.115068493;0.000546429;0.05
21.25;2012.74;2050;0.115068493;0.000563492;0.05
65.1;2012.74;1975;0.115068493;0.000698016;0.05
48.3;2012.74;2000;0.115068493;0.000653968;0.05
2.2;2050.29;2150;0.115068493;0.000451587;0.05
33.5;2012.74;2025;0.115068493;0.00060873;0.05
21.8;2075.91;2095;0.112328767;0.00049127;0.05
51.95;2075.91;2045;0.112328767;0.000465873;0.05
19.6;2014.54;2050;0.112328767;0.000533333;0.05
16.05;2014.54;2060;0.112328767;0.00052381;0.05
46.95;2014.54;2000;0.112328767;0.000626587;0.05
1.525;2075.91;2180;0.112328767;0.000295238;0.05
5;2014.54;2100;0.112328767;0.000460317;0.05
8.15;2014.54;2085;0.112328767;0.000480952;0.05
32.95;2030.57;2030;0.109589041;0.00052619;0.05
10.1;2030.57;2080;0.109589041;0.000379365;0.05
7.85;2031.38;2085;0.104109589;0.000500397;0.05
29.7;2031.38;2035;0.104109589;0.000517857;0.05
3.25;1987.89;2100;0.104109589;0.000571032;0.05
45.15;2016.16;2000;0.104109589;0.000578571;0.05
21.9;1987.89;2025;0.104109589;0.000536111;0.05
33.75;1987.89;2000;0.104109589;0.000690079;0.05
1.45;1987.89;2125;0.104109589;0.000481746;0.05
62.35;2016.16;1975;0.104109589;0.000617063;0.05
17.8;2016.16;2050;0.104109589;0.000494444;0.05
51.8;2016.16;1990;0.104109589;0.000594444;0.05
48.45;2016.16;1995;0.104109589;0.000586905;0.05
3.8;2016.16;2100;0.104109589;0.000420238;0.05
5.05;2050.29;2120;0.104109589;0.000348413;0.05
6.05;2050.29;2115;0.104109589;0.000386905;0.05
27.3;2016.16;2030;0.104109589;0.000528968;0.05
9.65;2003.02;2065;0.101369863;0.000476984;0.05
11.15;2003.02;2060;0.101369863;0.000484921;0.05
30.45;2003.02;2015;0.101369863;0.000555159;0.05
3.85;1981.01;2085;0.101369863;0.000586508;0.05
14.9;1981.01;2035;0.101369863;0.000480159;0.05
9.15;1981.01;2055;0.101369863;0.000592857;0.05
27.05;1981.01;2005;0.101369863;0.000624206;0.05
3.2;2075.91;2150;0.101369863;0.000363889;0.05
25.2;2003.02;2025;0.101369863;0.000539683;0.05
39.05;2003.02;2000;0.101369863;0.000577778;0.05
14.45;2003.02;2050;0.101369863;0.00049881;0.05
16.7;2075.91;2100;0.101369863;0.000449206;0.05
1.875;2003.02;2115;0.101369863;0.00043254;0.05
0.075;2003.02;2225;0.101369863;0.000554762;0.05
19.9;1992.73;2025;0.098630137;0.000542063;0.05
5.05;1992.73;2075;0.098630137;0.000470238;0.05
24.15;2019.02;2035;0.098630137;0.000486508;0.05
6.35;2019.02;2085;0.098630137;0.000524206;0.05
24.1;1991.76;2025;0.098630137;0.000487302;0.05
1.45;1991.76;2125;0.098630137;0.000541667;0.05
32.25;1992.73;2000;0.098630137;0.000580952;0.05
37.8;1992.73;1990;0.098630137;0.000594048;0.05
40.95;1992.73;1985;0.098630137;0.000604365;0.05
10.85;1992.73;2050;0.098630137;0.000502778;0.05
2.475;2089.99;2175;0.095890411;0.000390079;0.05
24.4;2089.99;2100;0.095890411;0.000422222;0.05
13.25;2089.99;2125;0.095890411;0.000439683;0.05
0.575;2089.99;2225;0.095890411;0.000365079;0.05
9.85;2012.74;2075;0.095890411;0.000522222;0.05
0.35;2012.74;2175;0.095890411;0.000621032;0.05
47.9;2023.25;2000;0.095890411;0.000580556;0.05
18.7;2023.25;2050;0.095890411;0.000487698;0.05
2.6;2023.25;2110;0.095890411;0.000401984;0.05
3.55;2023.25;2100;0.095890411;0.000404365;0.05
8.05;2023.25;2080;0.095890411;0.00044127;0.05
6.1;2089.99;2150;0.095890411;0.000484921;0.05
0.125;1921.42;2150;0.095890411;0.000527381;0.05
32.1;2031.6;2030;0.093150685;0.000539683;0.05
15;2014.54;2055;0.093150685;0.000589683;0.05
34.3;2014.54;2015;0.093150685;0.000521032;0.05
15.65;2075.91;2100;0.093150685;0.000419841;0.05
40.5;2014.54;2005;0.093150685;0.00069881;0.05
11.5;2014.54;2065;0.093150685;0.000638889;0.05
0.15;2075.91;2300;0.093150685;0.000526587;0.05
7;2075.91;2125;0.093150685;0.00042619;0.05
0.45;2075.91;2200;0.093150685;0.000353968;0.05
0.3;2075.91;2225;0.093150685;0.000383333;0.05
35.25;2031.6;2025;0.093150685;0.000550794;0.05
10.3;2031.6;2075;0.093150685;0.000444444;0.05
20.7;2031.6;2050;0.093150685;0.000496032;0.05
13.95;2031.6;2065;0.093150685;0.000462698;0.05
8.55;2031.6;2080;0.093150685;0.000431746;0.05
7.3;2031.6;2085;0.093150685;0.000426984;0.05
63.55;2031.6;1985;0.093150685;0.000636905;0.05
56.05;2031.6;1995;0.093150685;0.000617063;0.05
3.95;2031.6;2100;0.093150685;0.000400397;0.05
11.15;2086.86;2125;0.087671233;0.000413889;0.05
8.6;2031.38;2075;0.084931507;0.000427778;0.05
33.05;2031.38;2025;0.084931507;0.000538095;0.05
3.25;2031.38;2100;0.084931507;0.000394048;0.05
50.2;2031.38;2000;0.084931507;0.000594444;0.05
3.8;2031.38;2095;0.084931507;0.000394048;0.05
5.95;2031.38;2085;0.084931507;0.000413095;0.05
1.175;2031.38;2120;0.084931507;0.000367063;0.05
0.925;2031.38;2125;0.084931507;0.000369841;0.05
9.05;1981.01;2045;0.082191781;0.000659921;0.05
28.25;1981.01;1995;0.082191781;0.000623016;0.05
3.4;2030.57;2100;0.082191781;0.000409921;0.05
0.125;2084.58;2300;0.082191781;0.000532143;0.05
31.85;2030.57;2025;0.082191781;0.000532143;0.05
0.45;2030.57;2150;0.082191781;0.00039881;0.05
1.55;2003.02;2105;0.082191781;0.000532937;0.05
0.1;2019.02;2200;0.079452055;0.000591667;0.05
5.1;1992.73;2065;0.079452055;0.000594444;0.05
21.2;1992.73;2015;0.079452055;0.000715079;0.05
2.1;1991.76;2100;0.079452055;0.00052619;0.05
11;1991.76;2050;0.079452055;0.00047619;0.05
0.425;1991.76;2150;0.079452055;0.00064881;0.05
20.4;1991.76;2025;0.079452055;0.000690079;0.05
0.375;2019.02;2150;0.079452055;0.000425794;0.05
2.6;2019.02;2100;0.079452055;0.000429762;0.05
41.35;2019.02;2000;0.079452055;0.000584921;0.05
18.1;1921.42;1975;0.079452055;0.000688492;0.05
