c;S;X;T;vol;rf
29.5;2012.74;2020;28;0.000511508;0.000198413
27.25;2050.29;2055;28;0.000548016;0.000198413
11.45;1948.51;2015;28;0.000668254;0.000198413
12.95;2075.91;2100;27;0.000426587;0.000198413
13.6;2014.54;2050;27;0.00050873;0.000198413
0.325;2075.91;2200;27;0.000404365;0.000198413
0.4;2014.54;2150;27;0.00050873;0.000198413
41.7;2075.91;2050;27;0.000522619;0.000198413
0.075;2014.54;2245;27;0.000568254;0.000198413
25.55;2075.91;2075;27;0.000474603;0.000198413
1.825;2075.91;2150;27;0.000373016;0.000198413
2.25;2075.91;2145;27;0.000373016;0.000198413
1.45;2075.91;2155;27;0.000369841;0.000198413
15.05;2075.91;2095;27;0.000434524;0.000198413
81.3;2075.91;2000;27;0.000604762;0.000198413
5.25;2075.91;2125;27;0.00039127;0.000198413
9.35;2075.91;2110;27;0.000411905;0.000198413
60.55;2075.91;2025;27;0.000563095;0.000198413
2.85;2075.91;2140;27;0.000377778;0.000198413
6.4;2075.91;2120;27;0.000396429;0.000198413
34.8;2075.91;2060;27;0.000501587;0.000198413
4.25;2075.91;2130;27;0.000386111;0.000198413
28.45;2075.91;2070;27;0.00048254;0.000198413
10.05;1987.89;2040;25;0.000507143;0.000198413
11.55;1987.89;2035;25;0.000526984;0.000198413
26.35;1987.89;2000;25;0.000623413;0.000198413
57.3;1987.89;1950;25;0.000760317;0.000198413
34.6;1987.89;1985;25;0.000627778;0.000198413
11.25;2071.16;2100;24;0.000431746;0.000198413
22.45;2071.16;2075;24;0.00046627;0.000198413
25.7;2071.16;2070;24;0.000482143;0.000198413
2.9;2071.16;2135;24;0.00039246;0.000198413
7.45;1981.01;2040;24;0.000555556;0.000198413
10.4;2064.45;2100;23;0.000453175;0.000198413
165.1;2064.45;1900;23;0.000617063;0.000198413
21.3;2064.45;2075;23;0.000496032;0.000198413
29;1991.76;2000;23;0.000700397;0.000198413
2.125;2064.45;2140;23;0.00040754;0.000198413
2.65;2064.45;2135;23;0.000410714;0.000198413
12.15;2064.45;2095;23;0.000459524;0.000198413
45.7;2030.57;2000;23;0.000646825;0.000198413
36.35;2064.45;2050;23;0.00054246;0.000198413
2.65;2086.86;2150;22;0.000384524;0.000198413
15.4;2012.74;2040;22;0.000530556;0.000198413
37.65;2012.74;2000;22;0.000681746;0.000198413
33.3;2086.86;2075;22;0.00051746;0.000198413
18.65;2086.86;2100;22;0.000472222;0.000198413
0.825;2012.74;2115;22;0.000447222;0.000198413
0.925;1921.42;2060;22;0.00075873;0.000198413
0.125;1921.42;2130;22;0.000654762;0.000198413
9.7;2086.86;2120;22;0.000427381;0.000198413
8.1;2086.86;2125;22;0.000420238;0.000198413
45.85;1921.42;1910;22;0.000817857;0.000198413
4.35;2086.86;2140;22;0.000400397;0.000198413
1.6;2086.86;2160;22;0.000375794;0.000198413
23.95;2086.86;2090;22;0.000486905;0.000198413
4.45;1921.42;2015;22;0.000661905;0.000198413
13.75;2086.86;2110;22;0.000448016;0.000198413
22.55;2012.74;2025;22;0.000565476;0.000198413
17.7;2089.99;2100;21;0.000453175;0.000198413
0.35;2089.99;2200;21;0.000405556;0.000198413
13.1;2089.99;2110;21;0.000434921;0.000198413
13.55;2050.29;2075;21;0.000606349;0.000198413
0.175;2050.29;2175;21;0.000556349;0.000198413
32;2089.99;2075;21;0.000488889;0.000198413
7.7;2089.99;2125;21;0.000412302;0.000198413
35.6;2014.54;2000;21;0.000720635;0.000198413
4.1;2089.99;2140;21;0.000395238;0.000198413
5.05;2089.99;2135;21;0.000398413;0.000198413
6.25;2089.99;2130;21;0.000404365;0.000198413
1.6;2089.99;2160;21;0.000378571;0.000198413
25.8;2089.99;2085;21;0.000473016;0.000198413
22.3;2023.25;2030;21;0.000511905;0.000198413
20.7;2014.54;2025;21;0.000562698;0.000198413
2.8;2089.99;2150;21;0.000393651;0.000198413
9.9;2014.54;2050;21;0.000524603;0.000198413
28.8;2089.99;2080;21;0.000480159;0.000198413
1.6;2084.58;2150;20;0.000363095;0.000198413
12.6;2084.58;2100;20;0.000386508;0.000198413
25.25;2084.58;2075;20;0.000404762;0.000198413
4.65;2084.58;2125;20;0.000361905;0.000198413
2.35;2084.58;2140;20;0.000354762;0.000198413
82.25;2084.58;2000;20;0.000284921;0.000198413
10.35;2016.16;2045;18;0.00057381;0.000198413
7.1;2016.16;2055;18;0.000463889;0.000198413
10.55;1987.89;2025;18;0.000510317;0.000198413
52.35;1987.89;1950;18;0.000635317;0.000198413
19.6;2016.16;2025;18;0.000480159;0.000198413
14.25;1987.89;2015;18;0.000520238;0.000198413
49.4;2071.16;2030;17;0.000626587;0.000198413
34.75;2071.16;2050;17;0.000525;0.000198413
65.75;2071.16;2010;17;0.000515873;0.000198413
6.15;1981.01;2030;17;0.000438492;0.000198413
28.05;2003.02;2000;17;0.000643254;0.000198413
14.4;2003.02;2025;17;0.00055873;0.000198413
10.4;1981.01;2015;17;0.000647222;0.000198413
20.8;1992.73;2000;16;0.000730159;0.000198413
43.4;2064.45;2035;16;0.000538889;0.000198413
39.8;2064.45;2040;16;0.000547619;0.000198413
25.15;2030.57;2025;16;0.000443651;0.000198413
0.75;1921.42;2050;15;0.000679762;0.000198413
18.1;1921.42;1950;15;0.00078254;0.000198413
8.8;2023.25;2050;15;0.000394841;0.000198413
46.25;1921.42;1900;15;0.000904762;0.000198413
0.775;2019.02;2100;15;0.000397619;0.000198413
